Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.10-74.125.155.40-56528-443-17,172.18.0.10,56528,74.125.155.40,443,17,08/09/2023 10:29:13 AM,24376049,587,5549,35717.0,6852405.0,1250.0,31.0,60.84667802385012,158.76638450301965,1250.0,23.0,1234.8900702829324,130.52968661755656,282577.45953825413,251.72250022963115,3973.276120619397,126066.60632242962,6616497.0,-166.0,2.4376049E7,41597.35324232086,406750.73210626305,6616497.0,38.0,2.184703E7,3937.820836337428,128593.27870548736,6635188.0,1.0,0,0,0,0,4696,44392,24.081014933962432,227.64148529566873,23.0,1250.0,1122.596056705225,370.22025484375274,137063.03709657324,0,0,0,0,0,0,0,0,9.0,1122.7790091264667,60.84667802385008,1234.890070282934,0,0,0,1148011,1022,2255570,97,5952,924,1142067,0,0,586,8,4748108.0,2786040.3158547436,6718136.0,2778080.0,6150608.5,658865.8352536577,6616497.0,5684720.0,NeedManualLabel
172.18.0.10-172.217.4.214-47887-443-17,172.18.0.10,47887,172.217.4.214,443,17,08/09/2023 10:28:17 AM,21645840,21,33,4303.0,25245.0,1250.0,31.0,204.90476190476195,373.4834540862426,1250.0,24.0,764.9999999999999,563.1704337942467,1365.0659895850658,2.494705680167644,408412.0754716981,2056711.12255733,1.3909491E7,1.0,2.164584E7,1082292.0,3301355.4585994715,1.3950459E7,88.0,7719803.0,241243.84375000006,1042869.8305889936,5863418.0,1.0,0,0,0,0,168,264,0.970163320065195,1.5245423601024493,24.0,1250.0,559.9636363636364,568.4582451077445,323144.77643097646,0,0,0,0,0,0,0,0,1.0,570.3333333333334,204.9047619047619,765.0,0,0,0,14749,26,15610,10,2151,16,12622,0,0,20,8,944806.0,36930.772967811004,970920.0,918692.0,9878114.0,5701228.028438961,1.3909491E7,5846737.0,NeedManualLabel
172.18.0.10-142.250.191.195-50015-443-17,172.18.0.10,50015,142.250.191.195,443,17,08/09/2023 10:24:05 AM,25705249,285,734,22780.0,674802.0,1250.0,31.0,79.92982456140356,112.2473155438476,1250.0,23.0,919.3487738419627,505.59851301477465,27137.725839574636,39.641708975470344,25250.735756385056,394688.01150896953,1.0112042E7,1.0,2.5705249E7,90511.44014084505,746853.5752192152,1.0132503E7,72.0,1.5576391E7,21250.19236016375,279153.7764544651,5086298.0,1.0,0,0,0,0,2280,5872,11.087229693826346,28.554479281643996,23.0,1250.0,685.1294117647058,574.1625867925167,329662.6760722743,0,0,0,0,0,0,0,0,2.0,685.801766437684,79.9298245614035,919.3487738419618,0,0,0,174382,254,222489,71,5695,183,168700,0,0,284,8,5261759.5,4878282.307251652,8711226.0,1812293.0,7590865.0,3565482.7065431126,1.0112042E7,5069688.0,NeedManualLabel
172.18.0.10-142.250.190.110-47689-443-17,172.18.0.10,47689,142.250.190.110,443,17,08/09/2023 10:30:12 AM,27387342,222,549,37455.0,499279.0,1250.0,31.0,168.71621621621622,330.7762235297249,1250.0,22.0,909.4335154826957,525.6471694567323,19597.885767812008,28.151691390862247,35567.976623376664,307731.39527388825,4494027.0,1.0,2.7387342E7,123924.62443438912,568352.2827135867,4508488.0,20.0,2.7299337E7,49816.308394160595,366238.46348784753,4511363.0,1.0,0,0,0,0,1776,4392,8.105934486084848,20.045756904777395,22.0,1250.0,696.8704663212443,583.6432658726437,340639.4617984854,0,0,0,0,0,0,0,0,2.0,697.7743190661479,168.71621621621622,909.4335154826958,0,0,0,59637,85,105177,27,4681,68,62409,0,0,221,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-142.250.190.106-49006-443-17,172.18.0.10,49006,142.250.190.106,443,17,08/09/2023 10:25:53 AM,13832284,6,8,2785.0,6291.0,1250.0,31.0,464.1666666666667,610.6558496130751,1250.0,24.0,786.375,568.4655882285224,656.1461577856556,1.012124967937327,1064021.8461538462,3813172.695995485,1.3754999E7,3.0,1.3832284E7,2766456.8,6156511.658198431,1.3779556E7,6398.0,60559.0,8651.285714285714,9648.660212939509,24843.0,3.0,0,0,0,0,48,64,0.43376784340171154,0.5783571245356154,24.0,1250.0,688.4,586.7857725415151,344317.5428571428,0,0,0,0,0,0,0,0,1.0,737.5714285714286,464.1666666666667,786.375,0,0,0,9026,13,116788,6,2785,8,6291,0,0,5,8,77285.0,0.0,77285.0,77285.0,1.3754999E7,0.0,1.3754999E7,1.3754999E7,NeedManualLabel
172.18.0.10-142.250.191.99-57134-443-17,172.18.0.10,57134,142.250.191.99,443,17,08/09/2023 10:32:46 AM,21130442,133,526,9571.0,600961.0,1250.0,31.0,71.96240601503762,158.91289809844272,1250.0,23.0,1142.511406844106,328.33635898502126,28893.479842967794,31.187232145924824,32113.133738601842,436512.84230015415,9525697.0,1.0,2.1130442E7,160079.10606060608,970851.7898705857,9547266.0,62.0,1.1587405E7,22071.24761904762,259434.6966555096,3995795.0,1.0,0,0,0,0,1064,4208,6.294236533244312,24.89299561268051,23.0,1250.0,926.9424242424244,525.0916500855461,275721.24098956166,0,0,0,0,0,0,0,0,3.0,928.3490136570562,71.9624060150376,1142.5114068441064,0,0,0,152620,164,412834,33,2392,131,150240,0,0,132,8,1.1604745E7,0.0,1.1604745E7,1.1604745E7,9525697.0,0.0,9525697.0,9525697.0,NeedManualLabel
172.18.0.10-172.217.1.99-33263-443-17,172.18.0.10,33263,172.217.1.99,443,17,08/09/2023 10:26:44 AM,23969355,185,221,16729.0,73541.0,1250.0,31.0,90.42702702702701,135.10964277177902,1250.0,23.0,332.764705882353,402.6524655598054,3766.058786312773,16.938294751777843,59183.592592592606,684834.504707448,9663323.0,1.0,2.3969355E7,130268.23369565215,1014248.5588828187,9680676.0,79.0,1.4288534E7,64947.881818181784,666153.0018375524,9214840.0,1.0,0,0,0,0,1480,1768,7.718188495268229,9.220106256509615,23.0,1250.0,224.864864864865,336.5819993473347,113287.44228464921,0,0,0,0,0,0,0,0,1.0,225.41871921182266,90.42702702702702,332.7647058823529,0,0,0,30073,135,59711,61,5576,73,24513,0,0,184,8,2557990.0,3495315.086432409,5029551.0,86429.0,9426687.5,334653.13343893853,9663323.0,9190052.0,NeedManualLabel
172.18.0.10-142.250.190.74-51042-443-17,172.18.0.10,51042,142.250.190.74,443,17,08/09/2023 10:30:49 AM,17259898,6,8,2786.0,6301.0,1250.0,31.0,464.33333333333337,610.5579961532457,1250.0,24.0,787.625,566.9860007090122,526.480515701773,0.8111287795559394,1327684.4615384615,4762636.453413043,1.7178673E7,3.0,1.7259898E7,3451979.6,7687227.36011706,1.7203305E7,4404.0,64170.0,9167.142857142857,9832.372152377937,24906.0,3.0,0,0,0,0,48,64,0.34762661980968834,0.46350215974625114,24.0,1250.0,689.1333333333333,586.1255188178756,343543.1238095238,0,0,0,0,0,0,0,0,1.0,738.3571428571429,464.3333333333333,787.625,0,0,0,9037,13,111258,6,2786,8,6301,0,0,5,8,81225.0,0.0,81225.0,81225.0,1.7178673E7,0.0,1.7178673E7,1.7178673E7,NeedManualLabel
172.18.0.10-172.217.1.118-46026-443-17,172.18.0.10,46026,172.217.1.118,443,17,08/09/2023 10:31:14 AM,21541385,22,33,4365.0,24966.0,1250.0,31.0,198.4090909090909,366.2886786455406,1250.0,22.0,756.5454545454544,562.9046928049349,1361.6116141093064,2.5532248738881,398914.5370370371,1997043.1681845332,1.333457E7,1.0,2.1541385E7,1025780.238095238,3150167.8065091847,1.3347849E7,83.0,8190103.0,255940.71875000006,1140438.0658436655,6423853.0,1.0,0,0,0,0,176,264,1.0212899495552399,1.53193492433286,22.0,1250.0,546.0892857142856,565.2610427303224,319520.0464285714,0,0,0,0,0,0,0,0,1.0,556.0181818181818,198.4090909090909,756.5454545454545,0,0,0,14640,27,16274,11,2182,16,12483,0,0,21,8,899605.5,41806.27422409225,929167.0,870044.0,9871087.0,4898104.631648654,1.333457E7,6407604.0,NeedManualLabel
172.18.0.10-172.217.2.35-46109-443-17,172.18.0.10,46109,172.217.2.35,443,17,08/09/2023 10:28:17 AM,21398063,184,230,16732.0,72442.0,1250.0,31.0,90.93478260869568,134.65643831316592,1250.0,23.0,314.9652173913044,388.1752728510787,4167.386552698718,19.347545616628945,51811.29055690074,537608.6774448834,9033294.0,12.0,2.1398063E7,116929.3060109289,806935.4333480524,9053296.0,82.0,1.2348196E7,53922.25327510918,409884.30882444984,4307329.0,12.0,0,0,0,0,1472,1840,8.598909162946198,10.748636453682746,23.0,1250.0,217.88915662650615,326.08893344452446,106333.9925149875,0,0,0,0,0,0,0,0,1.0,218.41545893719805,90.93478260869566,314.96521739130435,0,0,0,22280,103,44390,46,4183,57,18110,0,0,183,8,1.2364769E7,0.0,1.2364769E7,1.2364769E7,9033294.0,0.0,9033294.0,9033294.0,NeedManualLabel
