Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.10-142.250.190.72-36108-443-6,172.18.0.10,36108,142.250.190.72,443,6,08/09/2023 10:34:17 AM,20093777,73,92,1226.0,224801.0,517.0,0.0,16.794520547945215,73.85721188439474,6460.0,0.0,2443.489130434783,1583.0859521038922,11248.60696921241,8.211497519854033,122523.03048780488,1485287.2642429767,1.9008123E7,-11.0,2.0077497E7,278854.12500000006,2243262.198818039,1.9029076E7,6.0,2.0077344E7,220630.15384615381,1995189.4460114134,1.9024403E7,1.0,0,0,0,0,2344,2952,3.632965569389966,4.5785319504640665,0.0,6460.0,1361.6084337349403,1687.7679999052596,2848560.8215042003,2,2,0,92,164,0,0,0,1.0,1369.860606060606,16.794520547945204,2443.4891304347825,0,0,0,226027,93,219083,73,1226,92,224801,64240,265,8,32,1069374.0,0.0,1069374.0,1069374.0,1.9008123E7,0.0,1.9008123E7,1.9008123E7,NeedManualLabel
172.18.0.10-172.217.5.2-35310-443-6,172.18.0.10,35310,172.217.5.2,443,6,08/09/2023 10:34:17 AM,20070449,16,24,1096.0,35736.0,517.0,0.0,68.50000000000001,146.8205253589111,2800.0,0.0,1489.0000000000002,1249.58473102067,1835.1358258103742,1.9929798282041422,514626.8974358974,3188848.440721557,1.9918319E7,2.0,2.0054305E7,1336953.6666666667,5146390.428044018,1.9940009E7,58.0,2.0054353E7,871928.3913043478,4155492.7911167243,1.9934463E7,2.0,0,0,0,0,520,776,0.7971919312816569,1.1957878969224853,0.0,2800.0,898.3414634146342,1187.8050894350492,1410880.9304878053,2,2,0,23,39,0,0,0,1.0,920.8,68.5,1489.0,0,0,0,36832,24,385405,16,1096,24,35736,64240,265,6,32,135986.0,0.0,135986.0,135986.0,1.9918319E7,0.0,1.9918319E7,1.9918319E7,NeedManualLabel
172.18.0.10-172.217.4.194-59400-443-6,172.18.0.10,59400,172.217.4.194,443,6,08/09/2023 10:34:17 AM,19464205,49,54,1143.0,138131.0,517.0,0.0,23.32653061224491,91.92895530315381,4200.0,0.0,2557.9814814814818,1307.9635256979661,7155.391139787112,5.29176506309916,190825.53921568627,1912108.831045941,1.9312812E7,-8.0,1.944763E7,405158.9583333334,2790350.180332477,1.9334493E7,39.0,1.944825E7,366948.1132075472,2654786.2346494235,1.9329387E7,1.0,0,0,0,0,1576,1736,2.517441631959795,2.774323431139366,0.0,4200.0,1339.1730769230767,1582.4510633229072,2504151.3678117995,2,2,0,53,102,0,0,0,1.0,1352.1747572815534,23.3265306122449,2557.9814814814813,0,0,0,139274,55,1499117,49,1143,54,138131,64240,265,6,32,134818.0,0.0,134818.0,134818.0,1.9312812E7,0.0,1.9312812E7,1.9312812E7,NeedManualLabel
172.18.0.10-142.250.191.142-47252-443-6,172.18.0.10,47252,142.250.191.142,443,6,08/09/2023 10:34:18 AM,19202354,18,24,1609.0,27817.0,517.0,0.0,89.38888888888887,168.2201424915259,2800.0,0.0,1159.0416666666667,1232.8171866013672,1532.4162860449296,2.187231836263408,468350.0975609756,2880839.0865082066,1.8456349E7,2.0,1.9186016E7,1128589.1764705882,4473196.724138332,1.8478485E7,33.0,1.9185789E7,834164.7391304348,3846964.4288624767,1.8472687E7,2.0,0,0,0,0,584,776,0.9373850726843178,1.2498467635790904,0.0,2800.0,684.3255813953489,1065.5344002609838,1135363.5581395347,2,2,0,25,41,0,0,0,1.0,700.6190476190476,89.38888888888889,1159.0416666666667,0,0,0,29426,25,42604,18,1609,24,27817,64240,269,8,32,729667.0,0.0,729667.0,729667.0,1.8456349E7,0.0,1.8456349E7,1.8456349E7,NeedManualLabel
172.18.0.10-172.217.1.106-49686-443-6,172.18.0.10,49686,172.217.1.106,443,6,08/09/2023 10:34:34 AM,3093071,14,14,1665.0,6757.0,593.0,0.0,118.92857142857142,203.13938537395916,2800.0,0.0,482.6428571428571,884.6635698773471,2722.860225322988,9.0524918438665,114558.18518518518,572987.0464666878,2981444.0,-33.0,3076905.0,236685.0,829615.2577113683,2997662.0,9.0,3076811.0,236677.76923076922,829589.2750544447,2997610.0,1.0,0,0,0,0,456,456,4.52624592193325,4.52624592193325,0.0,2800.0,290.41379310344814,647.0815535508741,418714.5369458127,2,2,0,15,27,0,0,0,1.0,300.7857142857143,118.92857142857143,482.64285714285717,0,0,0,8422,15,134345,14,1665,14,6757,64240,270,7,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-142.250.191.132-55912-443-6,172.18.0.10,55912,142.250.191.132,443,6,08/09/2023 10:34:19 AM,18128443,13,14,1253.0,5950.0,517.0,0.0,96.38461538461539,184.4173430300318,2800.0,0.0,425.0,836.3546358591414,397.33142002321983,1.48937225331486,697247.8076923077,3530632.196384823,1.8007567E7,-33.0,1.8112224E7,1509352.0,5200728.652990393,1.8023861E7,9.0,1.8111806E7,1393215.8461538462,4996871.721945356,1.8023786E7,1.0,0,0,0,0,424,456,0.7171051590034511,0.7722670943114088,0.0,2800.0,257.25,617.5826005632919,381408.26851851854,2,2,0,14,26,0,0,0,1.0,266.77777777777777,96.38461538461539,425.0,0,0,0,7203,14,106578,13,1253,14,5950,64240,265,6,32,104657.0,0.0,104657.0,104657.0,1.8007567E7,0.0,1.8007567E7,1.8007567E7,NeedManualLabel
172.18.0.10-142.251.166.154-37122-443-6,172.18.0.10,37122,142.251.166.154,443,6,08/09/2023 10:34:19 AM,18376939,15,16,1377.0,6259.0,517.0,0.0,91.8,173.53558712840427,2800.0,0.0,391.1875,819.5047462746427,415.52077851485495,1.6868968221530256,612564.6333333333,3323766.8137788824,1.8210674E7,1.0,1.8349464E7,1310676.0,4872083.785202685,1.8238179E7,53.0,1.8349475E7,1223298.3333333333,4707030.274451013,1.8238149E7,1.0,0,0,0,0,488,520,0.8162403978159801,0.8706564243370455,0.0,2800.0,238.62500000000003,602.3645745270561,362843.08064516133,2,2,0,17,30,0,0,0,1.0,246.32258064516128,91.8,391.1875,0,0,0,7636,17,91346,15,1377,16,6259,64240,265,7,32,138790.0,0.0,138790.0,138790.0,1.8210674E7,0.0,1.8210674E7,1.8210674E7,NeedManualLabel
172.18.0.10-151.101.146.109-55492-443-6,172.18.0.10,55492,151.101.146.109,443,6,08/09/2023 10:34:13 AM,24407973,8,8,610.0,5311.0,517.0,0.0,76.25000000000001,181.03886717655806,4700.0,0.0,663.875,1635.9060781195758,242.58466690372038,0.6555235045532048,1627198.2,6298010.290175532,2.4393147E7,16.0,2.4407973E7,3486853.285714286,9218809.407491073,2.4393147E7,714.0,2.4406756E7,3486679.4285714286,9219382.940618023,2.4394274E7,35.0,0,0,0,0,264,264,0.3277617522766024,0.3277617522766024,0.0,4700.0,348.2941176470588,1131.1733269434155,1279553.0955882352,1,2,1,6,14,0,0,0,1.0,370.0625,76.25,663.875,0,0,0,5890,5,503117,8,610,8,5311,64240,285,2,20,13670.0,0.0,13670.0,13670.0,2.4393147E7,0.0,2.4393147E7,2.4393147E7,NeedManualLabel
151.101.146.109-172.18.0.10-443-55492-6,151.101.146.109,443,172.18.0.10,55492,6,08/09/2023 10:34:37 AM,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86956.52173913043,23.0,0.0,23.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,43478.260869565216,43478.260869565216,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,285,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-3.160.22.61-38492-443-6,172.18.0.10,38492,3.160.22.61,443,6,08/09/2023 10:34:21 AM,15976408,8,8,581.0,6192.0,517.0,0.0,72.62500000000001,180.94587785933592,4284.0,0.0,774.0,1534.1450853348724,423.9375959852803,1.0014766773607684,1065093.8666666665,4115612.4826251883,1.5942123E7,11.0,1.597537E7,2282195.714285714,6023470.463397567,1.5942123E7,349.0,1.5975378E7,2282196.8571428573,6023944.126582944,1.5943196E7,20.0,0,0,0,0,264,264,0.5007383386803842,0.5007383386803842,0.0,4284.0,398.4117647058824,1085.1485531266865,1177547.382352941,2,2,0,6,15,0,0,0,1.0,423.3125,72.625,774.0,0,0,0,6773,6,212960,8,581,8,6192,64240,131,2,32,33247.0,0.0,33247.0,33247.0,1.5942123E7,0.0,1.5942123E7,1.5942123E7,NeedManualLabel
